trial_id,accuracy,trial_duration_in_seconds,learning_rate,warmup_ratio,rank,alpha,dropout,target_modules
1,0.352,60.4862585067749,5.610370144190018e-06,0.06,4,16,0.05,"['q_lin', 'v_lin']"
2,0.5315,58.979994773864746,1.8669744085859805e-05,0.0,16,32,0.0,"['q_lin', 'v_lin']"
3,0.6775,68.35761642456055,5.482908296990823e-05,0.1,2,16,0.2,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
4,0.6455,68.48619866371155,3.4225703503680303e-05,0.06,2,32,0.1,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
5,0.5465,59.745211601257324,3.15470530627045e-05,0.1,24,16,0.05,"['q_lin', 'v_lin']"
6,0.526,67.85740160942078,6.668380329871763e-06,0.1,16,96,0.1,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
7,0.5145,67.9703962802887,9.178103082243094e-06,0.1,24,32,0.05,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
8,0.57,58.986602544784546,2.4413485215601664e-05,0.0,8,96,0.0,"['q_lin', 'v_lin']"
9,0.8865,68.05561327934265,0.0002572531917782463,0.06,4,64,0.1,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
10,0.8035,59.51056623458862,0.00023765704945056263,0.1,4,16,0.05,"['q_lin', 'v_lin']"
11,0.5085,67.98591685295105,6.427103805629171e-06,0.1,24,64,0.1,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
12,0.6735,59.41295099258423,4.092083093978073e-05,0.1,16,96,0.1,"['q_lin', 'v_lin']"
13,0.642,59.38924717903137,3.774377682290704e-05,0.06,16,64,0.2,"['q_lin', 'v_lin']"
14,0.864,59.25412964820862,0.0004728641714023987,0.0,4,32,0.0,"['q_lin', 'v_lin']"
15,0.67,59.41468691825867,4.429082610599486e-05,0.1,8,96,0.2,"['q_lin', 'v_lin']"
16,0.533,59.70866537094116,2.7194083813658034e-05,0.1,2,16,0.1,"['q_lin', 'v_lin']"
17,0.4025,59.611916303634644,1.289490070566765e-05,0.1,4,8,0.05,"['q_lin', 'v_lin']"
18,0.359,59.392637729644775,7.382247782277069e-06,0.1,16,8,0.05,"['q_lin', 'v_lin']"
19,0.5415,67.6461124420166,1.84421571989747e-05,0.0,8,16,0.2,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
20,0.5315,67.596266746521,1.1544639640203618e-05,0.0,8,32,0.1,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
